     T ={[18,5],[7,7],19,14,[5,12],10,18,[10,19],[11,9],[5,12],0,0,0,0;       %10
         5,[18,5],[5,12],10,19,[15,19],14,9,[14,5],19,[10,19],16,0,0;         %12
         [14,5],19,10,19,[18,5],[5,12],[5,12],10,9,7,[10,19],10,19,18;        %14
         10,[7,7],14,10,18,[15,13],[14,7],[11,9],11,9,0,0,0,0;                %10
         9,[14,5],[18,5],[11,9],10,11,7,14,[5,12],[15,19],18,19,0,0;          %12
         [15,13],19,9,19,[5,12],[18,5],[14,9],[5,12],18,7,0,0,0,0;            %10
         10,18,7,9,[14,9],[10,19],[15,19],[14,7],18,19,19,10,0,0;             %12
         10,14,10,[15,19],[14,5],[18,5],19,19,[5,12],9,19,0,0,0;              %11
         [10,19],[14,9],19,19,[14,7],5,[5,12],[7,7],16,7,11,19,10,18;         %14
         19,[14,7],18,[11,9],7,10,[14,5],[15,19],18,19,19,0,0,0;              %11
         [14,5],10,18,[15,19],[10,19],[5,12],[11,9],[14,9],10,11,19,0,0,0;    %11
         19,[11,9],[7,7],16,14,[18,5],[5,12],10,18,[14,5],0,0,0,0;     %10
         [14,5],19,[10,19],[15,19],19,18,[14,9],[11,9],18,[14,5],5,0,0,0;     %11
         10,[7,7],10,11,14,[15,13],[14,9],16,[5,12],[14,5],5,0,0,0;           %11
         [14,5],[7,7],14,10,[10,19],[15,19],[18,5],7,[11,9],19,18,0,0,0;      %11
         5,[10,19],10,11,18,[14,7],[14,5],10,19,[15,13],[14,9],0,0,0;         %11
         10,[14,5],9,19,10,[5,12],5,[14,7],10,[14,9],[15,13],16,14,0;         %13
         [15,13],5,19,19,18,7,9,14,[18,5],10,[14,5],0,0,0;                    %11
         [10,19],5,[11,9],11,[5,12],18,[18,5],[14,9],[5,12],19,0,0,0,0;       %10
         18,10,14,11,[15,13],5,[14,9],[5,12],9,16,0,0,0,0};                   %10 
     
     Jm ={[7,4],[5,7],3,7,[4,10],1,10,[7,8],[3,8],[3,8],0,0,0,0;
         2,[7,4],[3,8],1,10,[3,4],7,5,[5,9],1,[7,8],1,0,0;
         [5,9],1,1,3,[7,4],[4,10],[3,8],10,5,1,[7,8],1,10,10;
         10,[5,7],7,1,10,[3,7],[10,5],[3,8],9,5,0,0,0,0;
         5,[5,9],[7,4],[3,8],1,9,1,7,[4,10],[3,4],8,10,0,0;
         [3,7],3,5,10,[3,8],[7,4],[8,10],[4,10],10,1,0,0,0,0;
         1,10,1,5,[8,10],[7,8],[3,4],[10,5],8,10,1,1,0,0;
         1,7,1,[3,4],[5,9],[7,4],3,1,[4,10],5,10,0,0,0;
         [7,8],[8,10],1,10,[10,5],2,[4,10],[5,7],1,1,9,3,1,10;
         10,[10,5],8,[3,8],1,1,[5,9],[3,4],10,3,1,0,0,0;
         [5,9],1,8,[3,4],[7,8],[3,8],[3,8],[8,10],10,9,3,0,0,0;
         10,[3,8],[5,7],1,7,[7,4],[4,10],1,8,[5,9],0,0,0,0;
         [10,5],10,[7,8],[3,4],1,8,[8,10],[3,8],10,[5,9],2,0,0,0;
         1,[5,7],1,9,7,[3,7],[8,10],1,[3,8],[5,9],2,0,0,0;
         [5,9],[5,7],7,10,[7,8],[3,4],[7,4],1,[3,8],1,8,0,0,0;
         2,[7,8],10,9,8,[10,5],[5,9],1,1,[3,7],[8,10],0,0,0;
         10,[5,9],5,10,1,[3,8],2,[10,5],1,[8,10],[3,7],1,7,0;
         [3,7],2,10,3,8,1,5,7,[7,4],1,[5,9],0,0,0;
         [7,8],2,[3,8],9,[4,10],10,[7,4],[8,10],[3,8],10,0,0,0,0;
         10,10,7,9,[3,7],2,[8,10],[3,8],5,1,0,0,0,0};
     RouN = [10;12;14;10;12;10;12;11;14;11;11;10;11;11;11;11;13;11;10;10];  
